                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.92106,                 0.3758,                 1.0316,                0.98438,                0.33543,                 1.0159,                 0.9816,                0.96359,                0.98474,                0.70561,                 1.0623,                0.33088,                 1.0935,                 1.0858,                0.31173,                 1.0775,               0.002179,               0.002179,               0.002179
                     82,                 0.9096,                0.37076,                 1.0276,                0.96787,                0.32509,                  1.012,                0.98012,                0.96483,                0.98439,                0.70525,                 1.0626,                0.33085,                 1.0937,                 1.0862,                0.31221,                 1.0772,                0.00208,                0.00208,                0.00208
                     83,                 0.9081,                0.36886,                 1.0242,                0.96758,                0.32525,                  1.009,                0.98283,                 0.9644,                0.98447,                0.70521,                  1.063,                0.33075,                  1.094,                 1.0877,                0.30931,                 1.0772,               0.001981,               0.001981,               0.001981
                     84,                0.90753,                0.36791,                 1.0245,                0.96522,                0.32253,                 1.0098,                0.98122,                0.96576,                 0.9845,                 0.7047,                 1.0635,                0.33058,                 1.0943,                 1.0879,                 0.3102,                 1.0771,               0.001882,               0.001882,               0.001882
                     85,                0.89961,                0.36483,                 1.0244,                0.95642,                0.32207,                 1.0097,                0.98223,                0.96359,                0.98456,                0.70447,                 1.0641,                0.33046,                 1.0946,                 1.0887,                0.31095,                 1.0774,               0.001783,               0.001783,               0.001783
                     86,                0.88984,                0.35971,                 1.0214,                0.94599,                0.31511,                 1.0076,                0.98123,                0.96467,                 0.9845,                0.70399,                 1.0647,                0.33046,                  1.095,                 1.0891,                0.31128,                 1.0763,               0.001684,               0.001684,               0.001684
                     87,                0.89163,                0.36308,                 1.0197,                0.94857,                0.32185,                 1.0056,                0.97906,                0.96548,                0.98466,                 0.7042,                 1.0655,                0.33033,                 1.0953,                   1.09,                0.30985,                 1.0784,               0.001585,               0.001585,               0.001585
                     88,                0.88563,                0.35729,                 1.0174,                0.94024,                0.31307,                 1.0031,                0.98024,                 0.9663,                0.98484,                0.70442,                 1.0662,                0.33019,                 1.0957,                 1.0902,                0.30944,                 1.0773,               0.001486,               0.001486,               0.001486
                     89,                0.88305,                0.35543,                 1.0181,                 0.9369,                0.31259,                 1.0032,                0.98202,                0.96576,                0.98504,                0.70501,                 1.0668,                0.33028,                 1.0961,                 1.0904,                0.30828,                 1.0776,               0.001387,               0.001387,               0.001387
                     90,                0.88494,                 0.3577,                 1.0165,                0.94027,                0.31517,                 1.0015,                0.97906,                0.96544,                 0.9851,                 0.7051,                 1.0673,                0.33015,                 1.0963,                  1.091,                0.30925,                 1.0779,               0.001288,               0.001288,               0.001288
                     91,                0.85961,                0.31377,                 1.0335,                0.89177,                0.25405,                 1.0228,                0.98174,                 0.9643,                0.98583,                0.70457,                 1.0677,                0.32996,                 1.0963,                 1.0914,                0.30778,                 1.0783,               0.001189,               0.001189,               0.001189
                     92,                0.84591,                0.31017,                 1.0266,                0.87776,                0.25274,                 1.0167,                 0.9791,                0.96738,                0.98598,                0.70476,                 1.0683,                0.32987,                 1.0966,                 1.0923,                0.30736,                 1.0786,                0.00109,                0.00109,                0.00109
                     93,                0.83819,                 0.3052,                 1.0213,                0.86937,                0.24779,                 1.0103,                0.97713,                0.96685,                0.98602,                 0.7038,                 1.0687,                0.32996,                 1.0969,                 1.0926,                  0.308,                  1.079,               0.000991,               0.000991,               0.000991
                     94,                0.83296,                0.30371,                 1.0211,                0.86441,                0.24783,                 1.0096,                0.97866,                0.96739,                0.98577,                0.70355,                 1.0693,                0.33005,                 1.0973,                 1.0933,                0.30744,                 1.0795,               0.000892,               0.000892,               0.000892
                     95,                0.82784,                 0.3014,                 1.0192,                0.85863,                0.24404,                  1.007,                0.97834,                0.96793,                0.98609,                0.70298,                 1.0697,                0.33018,                 1.0976,                 1.0939,                0.30852,                 1.0797,               0.000793,               0.000793,               0.000793
                     96,                0.82118,                0.29745,                 1.0172,                0.85182,                0.24329,                 1.0048,                0.97873,                 0.9663,                0.98595,                0.70299,                 1.0702,                0.32998,                  1.098,                 1.0945,                0.30727,                 1.0801,               0.000694,               0.000694,               0.000694
                     97,                0.81551,                0.29609,                 1.0146,                0.84568,                0.24284,                 1.0032,                0.98072,                0.96771,                0.98631,                0.70302,                 1.0711,                0.33032,                 1.0987,                 1.0951,                0.30587,                 1.0805,               0.000595,               0.000595,               0.000595
                     98,                0.81171,                0.29534,                 1.0114,                0.84102,                0.24151,                 1.0003,                0.98072,                0.96759,                0.98641,                0.70286,                 1.0718,                0.33029,                 1.0992,                 1.0959,                0.30429,                 1.0814,               0.000496,               0.000496,               0.000496
                     99,                 0.8048,                0.29226,                 1.0073,                0.83287,                 0.2401,                 0.9952,                0.98075,                0.96908,                0.98635,                0.70197,                 1.0725,                0.33051,                 1.0998,                 1.0966,                0.30475,                 1.0818,               0.000397,               0.000397,               0.000397
                    100,                0.80153,                0.28977,                 1.0055,                0.83054,                0.23565,                0.99416,                0.98128,                0.96873,                 0.9859,                0.70119,                 1.0731,                0.33043,                 1.1002,                 1.0974,                0.30448,                 1.0825,               0.000298,               0.000298,               0.000298
